SP,LogMass,LogLength,LogDiameter
9,1.721851818,2.740362689,1.08849047
9,1.921166051,2.707570176,1.217483944
9,2.297979244,3.041392685,1.239174304
9,2.611404638,2.886490725,1.502017215
9,2.88460677,3.1430148,1.478782868
9,2.906819715,3.071882007,1.585686278
9,3.014784584,3.301029996,1.698970004
9,3.100861446,3.267171728,1.62324929
9,3.100861446,3.240549248,1.62838893
9,3.689323424,3.462397998,1.826074803
9,3.792041311,3.474216264,1.80573867
9,4.631374956,3.531478917,2.596597096
10,-0.777283529,1.954242509,0.241795431
10,0.428620673,2.477121255,0.694166296
10,0.711554168,1.995635195,0.950364854
10,0.77151399,2.544068044,0.818885415
10,0.809559715,2.230448921,0.892651034
10,0.866287339,2.290034611,0.877659244
10,1.050843581,2.146128036,0.935759104
10,1.421603927,2.505149978,1.060320029
10,1.537819095,2.67669361,1.130333768
10,1.629409599,2.72427587,1.431363764
10,1.897077003,2.763427994,0.812913357
10,1.950506026,2.72427587,1.246990699
10,2.035029282,2.806179974,0.903089987
10,2.14113609,2.973127854,1.361727836
10,2.185176548,2.799340549,1.366236124
10,2.22354526,2.662757832,1.29907126
10,2.733438027,3.056904851,1.439332694
10,2.849357982,3.056904851,1.477121255
10,2.8857292,2.977723605,1.447158031
10,3.159224796,3.326335861,1.544068044
10,3.229169703,3.123851641,1.666283923
10,3.318912094,3.392696953,1.799340549
10,3.449735506,3.371067862,2.10720997
10,3.552262564,3.181843588,1.632178809
10,3.580664992,3.456366033,1.73239376
10,3.630088749,3.389166084,2.290034611
10,3.957282235,3.348304863,1.819543936
10,3.996732222,3.58546073,1.872156273
10,4.227208676,3.480006943,1.908485019
10,4.375644171,3.51851394,2.004321374
10,4.754783113,3.653212514,2.285557309
10,5.03866808,3.69019608,2.350248018
10,5.058283364,3.740362689,2.401400541
10,5.149680886,3.781755375,2.460897843
11,-1.346787486,1.342422681,0.165837625
11,-1.113509275,1.759667845,0.374748346
11,-0.785156152,1.86332286,0.447158031
11,-0.752026734,1.544068044,0.306425028
11,-0.718966633,1.662757832,0.419955748
11,-0.698970004,1.662757832,0.456366033
11,-0.595166283,1.875061263,0.523746467
11,-0.453457337,1.829303773,0.553276046
11,-0.202732459,1.84509804,0.60906055
11,-0.129011186,1.77815125,0.645422269
11,-0.080398976,2.176091259,0.542825427
11,-0.001740662,1.880813592,0.778513012
11,0.227115083,1.977723605,0.671635597
11,0.389166084,2.113943352,0.759290033
11,0.604550033,2.230448921,0.795532443
11,0.736396502,2.161368002,1.080806804
11,0.849050691,2.10720997,1.097430854
11,0.872156273,2.230448921,0.908485019
11,0.951823035,2.491361694,0.998912904
11,1.051152522,2.301029996,0.937267072
11,1.379305518,2.505149978,1.09184275
11,1.49762065,2.716003344,1.07114529
11,1.517855419,2.397940009,1.47414339
11,1.601516784,2.397940009,1.487138375
11,1.627877695,2.579783597,1.499136995
11,1.900093902,2.531478917,1.432247538
11,2.158060794,2.579783597,1.479719235
12,1.427323786,2.243038049,0.921946454
12,1.545925329,2.269512944,1.097951071
12,1.611192061,2.342422681,0.915399835
12,1.657533888,2.243038049,1.004965887
12,1.686636269,2.278753601,1.005395032
12,1.711385379,2.397940009,0.967313918
12,1.773054693,2.33243846,1.035429738
12,1.927370363,2.180891096,1.200987219
12,1.998477303,2.301029996,1.164650216
12,2.001517377,2.352182518,1.078456818
12,2.082066934,2.322219295,1.116773727
12,2.12515583,2.217483944,1.175801633
12,2.160468531,2.389166084,1.189349924
12,2.238297068,2.230448921,1.184123354
12,2.255754787,2.389166084,1.359171206
12,2.267875419,2.505149978,1.209112704
12,2.361350024,2.397940009,1.361727836
12,2.366796383,2.204119983,1.42772948
12,2.58172216,2.51851394,1.44208763
12,2.879038505,2.414973348,1.378125246
13,0.311753861,1.929418926,0.741151599
13,0.511883361,2.033423755,0.803798408
13,0.537819095,2.017033339,0.752816431
13,0.58546073,2.025305865,0.809559715
13,0.741860394,2.161368002,0.770483809
13,0.883661435,1.977723605,0.867172751
13,0.975431809,2.33243846,0.861832998
13,1.058805487,2.322219295,0.981365509
13,1.550839605,2.477121255,1.066512278
13,1.672753425,2.397940009,1.011570444
13,1.698100546,2.602059991,1.111766433
13,1.759290033,2.662757832,1.13081605
13,1.890979597,2.755874856,1.183412212
13,1.972896784,2.322219295,1.156397697
13,1.993876915,2.544068044,1.155943018
13,2.047274867,2.643452676,1.215240887
13,2.09464579,2.505149978,1.270445908
13,2.124830149,2.643452676,1.364081741
13,2.149527014,2.69019608,1.206960729
13,2.229041573,2.62324929,1.26611405
13,2.243038049,2.72427587,1.226213121
13,2.292477594,2.740362689,1.262094965
13,2.307923704,2.653212514,1.312917481
13,2.331629718,2.447158031,1.365394377
13,2.412964272,2.672097858,1.412460547
13,2.537189226,2.544068044,1.363235804
13,2.689308859,2.792391689,1.426998959
13,2.817499262,3.008600172,1.595936906
13,3.112269768,2.949390007,1.564902673
14,-0.401209493,2.146128036,0.514547753
14,-0.368556231,2.021189299,0.305351369
14,-0.092588639,2.204119983,0.414137362
14,-0.089375595,2.612783857,0.8283376
14,-0.000869459,2.079181246,0.513883186
14,0.184123354,2.204119983,0.46834733
14,0.200029267,2.113943352,0.470557485
14,0.355068206,2.371067862,0.609594409
14,0.360593414,2.123851641,0.696356389
14,0.450710878,2.267171728,0.33243846
14,0.494293769,2.311753861,0.681693392
14,0.708250889,2.414973348,0.726319612
14,0.770115295,2.352182518,0.64246452
14,1.06092437,2.58546073,0.833147112
14,1.098436045,2.40654018,0.752816431
14,1.110050716,2.511883361,0.819543936
14,1.1181324,2.439332694,0.646893624
